SALE_PART_ID,DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,MAIN_PART_FLAG,DOWN_PART_CODE,UP_PART_CODE,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
2.0,3485.0,TMS008,Thermal Management System,1.0,N,000,111,9999999999,2024-05-29,9999999988,2024-06-17
3.0,1390.0,WB020,Wheel Bearings,3.0,N,000,111,9999999999,2024-01-16,9999999988,2024-06-20
4.0,2542.0,CP004,Charging Port,1.0,N,000,111,9999999999,2024-07-17,9999999988,2024-07-22
5.0,2846.0,EWP016,Electric Water Pump,1.0,N,000,111,9999999999,2024-06-06,9999999988,2024-07-08
6.0,1083.0,HL023,Headlights,1.0,N,000,111,9999999999,2024-04-27,9999999988,2024-07-20
7.0,3468.0,EAC015,Electric Air Conditioning Compressor,1.0,N,000,111,9999999999,2024-05-19,9999999988,2024-05-30
8.0,2949.0,RBS009,Regenerative Braking System,1.0,N,000,111,9999999999,2024-03-25,9999999988,2024-04-08
9.0,2877.0,WB025,Wiper Blades,1.0,N,000,111,9999999999,2024-02-24,9999999988,2024-05-23
10.0,584.0,TI019,Tires,1.0,N,000,111,9999999999,2024-02-24,9999999988,2024-04-10
11.0,4063.0,WB025,Wiper Blades,2.0,N,000,111,9999999999,2024-02-06,9999999988,2024-07-01
12.0,1361.0,EDU012,Electric Drive Unit,1.0,N,000,111,9999999999,2024-04-07,9999999988,2024-06-16
13.0,4429.0,TI019,Tires,4.0,N,000,111,9999999999,2024-02-27,9999999988,2024-07-14
14.0,2289.0,RBS009,Regenerative Braking System,1.0,N,000,111,9999999999,2024-02-08,9999999988,2024-06-17
15.0,2652.0,EM002,Electric Motor,1.0,N,000,111,9999999999,2024-01-29,9999999988,2024-05-06
16.0,2136.0,HP014,Heat Pump,1.0,N,000,111,9999999999,2024-05-08,9999999988,2024-06-02
17.0,2045.0,CAF034,Cabin Air Filter,4.0,N,000,111,9999999999,2024-02-09,9999999988,2024-05-13
18.0,3487.0,CVJ029,CV Joints,4.0,N,000,111,9999999999,2024-06-17,9999999988,2024-07-02
19.0,142.0,FB035,Fuse Box,1.0,N,000,111,9999999999,2024-03-20,9999999988,2024-07-08
20.0,696.0,HL023,Headlights,1.0,N,000,111,9999999999,2024-07-04,9999999988,2024-07-22
21.0,917.0,AB036,12V Auxiliary Battery,1.0,N,000,111,9999999999,2024-07-21,9999999988,2024-07-22
22.0,4033.0,TI019,Tires,4.0,N,000,111,9999999999,2024-01-25,9999999988,2024-04-09
23.0,3525.0,WS021,Windshield,1.0,N,000,111,9999999999,2024-01-06,9999999988,2024-02-03
24.0,2938.0,TRE028,Tie Rod Ends,4.0,N,000,111,9999999999,2024-06-03,9999999988,2024-06-11
25.0,1212.0,MI022,Mirrors,4.0,N,000,111,9999999999,2024-07-10,9999999988,2024-07-10
26.0,691.0,CAF034,Cabin Air Filter,3.0,N,000,111,9999999999,2024-04-04,9999999988,2024-06-10
27.0,2671.0,BD018,Brake Discs,4.0,N,000,111,9999999999,2024-01-25,9999999988,2024-05-27
28.0,1967.0,BP017,Brake Pads,4.0,N,000,111,9999999999,2024-03-27,9999999988,2024-05-21
29.0,2932.0,SC026,"Suspension Components (Shocks, Struts)",3.0,N,000,111,9999999999,2024-02-25,9999999988,2024-06-23
30.0,1118.0,SC026,"Suspension Components (Shocks, Struts)",4.0,N,000,111,9999999999,2024-06-22,9999999988,2024-07-13
31.0,1301.0,BP017,Brake Pads,2.0,N,000,111,9999999999,2024-02-01,9999999988,2024-04-25
32.0,2326.0,EWP016,Electric Water Pump,1.0,N,000,111,9999999999,2024-07-16,9999999988,2024-07-17
33.0,3839.0,BD018,Brake Discs,1.0,N,000,111,9999999999,2024-02-12,9999999988,2024-04-01
34.0,1753.0,CL031,Coolant (for thermal management),2.0,N,000,111,9999999999,2024-04-23,9999999988,2024-07-05
35.0,2130.0,SC026,"Suspension Components (Shocks, Struts)",4.0,N,000,111,9999999999,2024-02-18,9999999988,2024-03-28
36.0,2179.0,WS021,Windshield,1.0,N,000,111,9999999999,2024-05-09,9999999988,2024-05-17
37.0,4439.0,PEC007,Power Electronics Controller,1.0,N,000,111,9999999999,2024-03-19,9999999988,2024-04-14
38.0,2999.0,CAF034,Cabin Air Filter,4.0,N,000,111,9999999999,2024-04-21,9999999988,2024-04-27
39.0,2800.0,EAC015,Electric Air Conditioning Compressor,1.0,N,000,111,9999999999,2024-02-05,9999999988,2024-07-07
